Date,PPM
2023-12-19,422.03
2023-12-20,422.09
2023-12-21,422.02
2023-12-22,421.918
2023-12-23,421.816
2023-12-24,421.714
2023-12-25,421.61199999999997
2023-12-26,421.51
2023-12-27,422.24
2023-12-28,421.55
2023-12-29,421.68
2023-12-30,422.33
2023-12-31,422.28
2024-01-01,422.23
2024-01-02,422.37
2024-01-03,422.45
2024-01-04,422.53000000000003
2024-01-05,422.61
2024-01-06,422.86
2024-01-07,423.08500000000004
2024-01-08,423.31
2024-01-09,423.16
2024-01-10,423.22
2024-01-11,422.78
2024-01-12,423.87
2024-01-13,424.96
2024-01-14,422.85
2024-01-15,422.36
2024-01-16,422.83
2024-01-17,423.3
2024-01-18,422.83
2024-01-19,422.8
2024-01-20,422.89
2024-01-21,422.77
2024-01-22,422.87
2024-01-23,422.65
2024-01-24,422.85
2024-01-25,422.58
2024-01-26,423.57
2024-01-27,422.71
2024-01-28,422.37
2024-01-29,422.24
2024-01-30,422.33
2024-01-31,422.31
2024-02-01,422.21
2024-02-02,422.21
2024-02-03,424.21
2024-02-04,426.21
2024-02-05,426.04999999999995
2024-02-06,425.89
2024-02-07,425.6
2024-02-08,425.6
2024-02-09,425.735
2024-02-10,425.87
2024-02-11,424.82
2024-02-12,423.87
2024-02-13,424.2
2024-02-14,422.79
2024-02-15,422.91
2024-02-16,423.1
2024-02-17,423.1
2024-02-18,423.8233333333333
2024-02-19,424.5466666666667
2024-02-20,425.27
2024-02-21,425.28
2024-02-22,425.2133333333333
2024-02-23,425.14666666666665
2024-02-24,425.08
2024-02-25,425.17
2024-02-26,425.48
2024-02-27,425.24
2024-02-28,425.38
2024-02-29,425.25
2024-03-01,424.92
2024-03-02,424.47
2024-03-03,424.64
2024-03-04,424.81
2024-03-05,424.99333333333334
2024-03-06,425.1766666666667
2024-03-07,425.36
2024-03-08,426.1
2024-03-09,425.54
2024-03-10,425.1
2024-03-11,424.95
2024-03-12,424.735
2024-03-13,424.52
2024-03-14,425.56
2024-03-15,427.93
2024-03-16,426.36
2024-03-17,423.96
2024-03-18,426.02
2024-03-19,424.06
2024-03-20,425.25
2024-03-21,426.44
2024-03-22,425.48
2024-03-23,426.26
2024-03-24,426.35
2024-03-25,425.5266666666667
2024-03-26,424.7033333333333
2024-03-27,423.88
2024-03-28,425.16
2024-03-29,424.75
2024-03-30,425.03
2024-03-31,425.31
2024-04-01,425.59
2024-04-02,425.87
2024-04-03,426.15
2024-04-04,426.43
2024-04-05,426.71
2024-04-06,425.99
2024-04-07,426.25
2024-04-08,425.67
2024-04-09,426.51
2024-04-10,427.35
2024-04-11,425.41
2024-04-12,424.8
2024-04-13,425.7
2024-04-14,425.27
2024-04-15,424.92
2024-04-16,425.98
2024-04-17,427.04
2024-04-18,427.47
2024-04-19,426.97
2024-04-20,426.34
2024-04-21,427.29
2024-04-22,427.21
2024-04-23,427.815
2024-04-24,428.42
2024-04-25,428.19
2024-04-26,428.59
2024-04-27,428.015
2024-04-28,427.44
2024-04-29,425.85
2024-04-30,425.73
2024-05-01,426.34
2024-05-02,427.55
2024-05-03,427.72
2024-05-04,427.89
2024-05-05,426.69
2024-05-06,425.8
2024-05-07,425.76
2024-05-08,426.85
2024-05-09,427.68
2024-05-10,427.74
2024-05-11,427.9
2024-05-12,428.05
2024-05-13,427.45
2024-05-14,427.85
2024-05-15,427.45
2024-05-16,426.95
2024-05-17,425.82
2024-05-18,425.63
2024-05-19,426.26
2024-05-20,426.28
2024-05-21,427.69
2024-05-22,426.23
2024-05-23,426.39
2024-05-24,426.55
2024-05-25,426.81
2024-05-26,427.09
2024-05-27,426.65
2024-05-28,427.04
2024-05-29,426.03
2024-05-30,426.13
2024-05-31,427.82
2024-06-01,427.43
2024-06-02,427.44666666666666
2024-06-03,427.46333333333337
2024-06-04,427.48
2024-06-05,427.21333333333337
2024-06-06,426.94666666666666
2024-06-07,426.68
2024-06-08,427.02
2024-06-09,427.64
2024-06-10,427.59
2024-06-11,427.215
2024-06-12,426.84
2024-06-13,426.9
2024-06-14,427.53
2024-06-15,427.51
2024-06-16,427.16999999999996
2024-06-17,426.83
2024-06-18,426.94666666666666
2024-06-19,427.06333333333333
2024-06-20,427.18
2024-06-21,425.89
2024-06-22,427.0
2024-06-23,426.64
2024-06-24,427.33
2024-06-25,426.95
2024-06-26,426.9
2024-06-27,426.85
2024-06-28,426.8
2024-06-29,424.65
2024-06-30,425.38
2024-07-01,425.74
2024-07-02,425.23
2024-07-03,425.61
2024-07-04,426.19
2024-07-05,425.845
2024-07-06,425.5
2024-07-07,425.39
2024-07-08,425.76
2024-07-09,425.81
2024-07-10,427.13
2024-07-11,426.61
2024-07-12,425.66
2024-07-13,427.37
2024-07-14,426.55
2024-07-15,426.46
2024-07-16,425.79
2024-07-17,425.31
2024-07-18,424.83
2024-07-19,425.47
2024-07-20,426.11
2024-07-21,425.2
2024-07-22,424.83500000000004
2024-07-23,424.47
2024-07-24,424.7
2024-07-25,425.1
2024-07-26,424.52
2024-07-27,424.75
2024-07-28,424.97999999999996
2024-07-29,425.21
2024-07-30,425.02
2024-07-31,424.83
2024-08-01,424.79499999999996
2024-08-02,424.76
2024-08-03,424.74
2024-08-04,424.39
2024-08-05,424.57
2024-08-06,424.63
2024-08-07,424.66
2024-08-08,424.56
2024-08-09,422.26
2024-08-10,421.9925
2024-08-11,421.725
2024-08-12,421.4575
2024-08-13,421.19
2024-08-14,422.66
2024-08-15,422.91
2024-08-16,423.16
2024-08-17,423.41
2024-08-18,423.01
2024-08-19,422.89
2024-08-20,423.08
2024-08-21,423.27
2024-08-22,423.16
2024-08-23,422.24
2024-08-24,422.4
2024-08-25,421.72
2024-08-26,422.49
2024-08-27,420.45500000000004
2024-08-28,418.42
2024-08-29,420.125
2024-08-30,421.83
2024-08-31,422.35
2024-09-01,422.545
2024-09-02,422.74
2024-09-03,422.78
2024-09-04,422.09
2024-09-05,421.4
2024-09-06,422.1
2024-09-07,422.64
2024-09-08,422.4
2024-09-09,422.075
2024-09-10,421.75
2024-09-11,421.8225
2024-09-12,421.895
2024-09-13,421.96750000000003
2024-09-14,422.04
2024-09-15,422.13
2024-09-16,421.9
2024-09-17,421.88
2024-09-18,422.03
2024-09-19,421.73
2024-09-20,421.99
2024-09-21,422.19
2024-09-22,422.078
2024-09-23,421.966
2024-09-24,421.854
2024-09-25,421.742
2024-09-26,421.63
2024-09-27,421.79
2024-09-28,421.84333333333336
2024-09-29,421.89666666666665
2024-09-30,421.95
2024-10-01,421.9266666666667
2024-10-02,421.9033333333333
2024-10-03,421.88
2024-10-04,422.27
2024-10-05,421.69
2024-10-06,422.27
2024-10-07,422.0
2024-10-08,422.0625
2024-10-09,422.125
2024-10-10,422.1875
2024-10-11,422.25
2024-10-12,422.11
2024-10-13,422.51
2024-10-14,423.09
2024-10-15,422.46
2024-10-16,422.54
2024-10-17,422.525
2024-10-18,422.51
2024-10-19,422.44
2024-10-20,422.37
2024-10-21,422.21
2024-10-22,422.02
2024-10-23,422.09
2024-10-24,422.14
2024-10-25,422.3833333333333
2024-10-26,422.62666666666667
2024-10-27,422.87
2024-10-28,422.72
2024-10-29,422.58
2024-10-30,422.9
2024-10-31,423.7
2024-11-01,424.07
2024-11-02,423.22
2024-11-03,423.1166666666667
2024-11-04,423.0133333333334
2024-11-05,422.91
2024-11-06,423.0
2024-11-07,423.61
2024-11-08,423.61
2024-11-09,423.58
2024-11-10,423.57
2024-11-11,423.16
2024-11-12,423.34
2024-11-13,423.52
2024-11-14,423.74
2024-11-15,423.96
2024-11-16,424.05
2024-11-17,423.63
2024-11-18,423.65666666666664
2024-11-19,423.68333333333334
2024-11-20,423.71
2024-11-21,424.37
2024-11-22,424.09
2024-11-23,423.98
2024-11-24,424.48
2024-11-25,424.48
2024-11-26,424.39
2024-11-27,424.3
2024-11-28,424.43
2024-11-29,424.88
2024-11-30,424.95
2024-12-01,425.1
2024-12-02,424.61
2024-12-03,424.94
2024-12-04,424.875
2024-12-05,424.81
2024-12-06,424.64
2024-12-07,425.58
2024-12-08,425.26
2024-12-09,425.05
2024-12-10,425.88
2024-12-11,427.85
2024-12-12,424.97
2024-12-13,424.86
2024-12-14,425.85
2024-12-15,425.06
2024-12-16,424.7
2024-12-17,424.34
2024-12-18,424.61
2024-12-19,425.04
2024-12-20,425.76
2024-12-21,425.73
2024-12-22,425.7
2024-12-23,425.49
2024-12-24,425.43
2024-12-25,425.6
2024-12-26,425.95
2024-12-27,425.53
2024-12-28,425.43
2024-12-29,425.33
2024-12-30,425.72
2024-12-31,427.16
